"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Albania","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Total Non-Renewable","Electricity Installed Capacity (MW)","All","2020",97.00
"Albania","Total Non-Renewable","Electricity Installed Capacity (MW)","On-grid","2020",97.00
"Albania","Total Non-Renewable","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Pumped storage","Electricity Generation (GWh)","All","2020",-
"Albania","Pumped storage","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Pumped storage","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Pumped storage","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Pumped storage","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Pumped storage","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Coal and peat","Electricity Generation (GWh)","All","2020",-
"Albania","Coal and peat","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Coal and peat","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Coal and peat","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Coal and peat","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Coal and peat","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Oil","Electricity Generation (GWh)","All","2020",-
"Albania","Oil","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Oil","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Oil","Electricity Installed Capacity (MW)","All","2020",97.00
"Albania","Oil","Electricity Installed Capacity (MW)","On-grid","2020",97.00
"Albania","Oil","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Natural gas","Electricity Generation (GWh)","All","2020",-
"Albania","Natural gas","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Natural gas","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Natural gas","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Natural gas","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Natural gas","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Fossil fuels n.e.s.","Electricity Generation (GWh)","All","2020",-
"Albania","Fossil fuels n.e.s.","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Fossil fuels n.e.s.","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Nuclear","Electricity Generation (GWh)","All","2020",-
"Albania","Nuclear","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Nuclear","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Nuclear","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Nuclear","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Nuclear","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Other non-renewable energy","Electricity Generation (GWh)","All","2020",-
"Albania","Other non-renewable energy","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Other non-renewable energy","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Other non-renewable energy","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Other non-renewable energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Other non-renewable energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Total Renewable","Electricity Generation (GWh)","All","2020",873.71
"Algeria","Total Renewable","Electricity Generation (GWh)","On-grid","2020",832.71
"Algeria","Total Renewable","Electricity Generation (GWh)","Off-grid","2020",41.00
"Algeria","Total Renewable","Electricity Installed Capacity (MW)","All","2020",584.70
"Algeria","Total Renewable","Electricity Installed Capacity (MW)","On-grid","2020",555.80
"Algeria","Total Renewable","Electricity Installed Capacity (MW)","Off-grid","2020",28.90
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2020",698.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",665.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2020",33.00
"Algeria","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2020",341.10
"Algeria","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",322.20
"Algeria","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2020",18.90
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2020",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2020",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Solar thermal energy","Electricity Installed Capacity (MW)","All","2020",25.00
"Algeria","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2020",25.00
"Algeria","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2020",8.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2020",8.00
"Algeria","Onshore wind energy","Electricity Installed Capacity (MW)","All","2020",10.00
"Algeria","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",10.00
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2020",-
